"filename", "language", "TypeScript", "JSON", "SCSS", "HTML", "JavaScript", "Markdown", "XML", "Ignore", "comment", "blank", "total"
"/Users/adamspice/projects/spiceydev/apps/ngshop/tsconfig.spec.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/adamspice/projects/spiceydev/decorate-angular-cli.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 0, 31, 4, 70
"/Users/adamspice/projects/spiceydev/environments/environment.prod.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/adamspice/projects/spiceydev/environments/environment.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 11, 3, 20
"/Users/adamspice/projects/spiceydev/jest.config.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"/Users/adamspice/projects/spiceydev/jest.preset.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"/Users/adamspice/projects/spiceydev/libs/orders/.eslintrc.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 37, 0, 40
"/Users/adamspice/projects/spiceydev/libs/orders/README.md", "Markdown", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 8
"/Users/adamspice/projects/spiceydev/libs/orders/jest.config.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"/Users/adamspice/projects/spiceydev/libs/orders/src/index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/components/cart-icon/cart-icon.component.html", "HTML", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/components/cart-icon/cart-icon.component.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/components/order-summary/order-summary.component.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/components/order-summary/order-summary.component.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 6, 67
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/models/cart.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/models/order-item.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/models/order.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/order.constants.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/orders.module.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/pages/cart-page/cart-page.component.html", "HTML", 0, 0, 0, 58, 0, 0, 0, 0, 0, 1, 59
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/pages/cart-page/cart-page.component.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/pages/checkout-page/checkout-page.component.html", "HTML", 0, 0, 0, 64, 0, 0, 0, 0, 0, 1, 65
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/pages/checkout-page/checkout-page.component.ts", "TypeScript", 117, 0, 0, 0, 0, 0, 0, 0, 0, 14, 131
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/pages/thank-you/thank-you.component.html", "HTML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/pages/thank-you/thank-you.component.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/services/cart.service.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 13, 81
"/Users/adamspice/projects/spiceydev/libs/orders/src/lib/services/orders.service.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 15, 89
"/Users/adamspice/projects/spiceydev/libs/orders/src/test-setup.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
